Vendor,Phone numbers,Email,Full name,Billing address,Bill city,Bill state,Bill street,Bill zip,Billing rate,Bill country,Company,Phone,Modified on,Terms,Tax ID,Website
Amazon.com,,,Amazon.com,United States,,,,,,United States,Amazon.com,,10/15/2025 17:21:42 a,,,
"American Roofing & Metal Co., Inc.",Phone:(502) 966-2900 ,service@americanroofingonline.com,,4610 Roofing Rd Louisville KY 40218,Louisville,KY,4610 Roofing Rd,40218,,,"American Roofing & Metal Co., Inc.",(502) 966-2900,01/23/2026 05:28:25 a,,61-1092077,https://americanroofingonline.com/
"Apex Cabinetry, Inc",Phone:(513) 832-7905 ,drigsby@apexcabinetry.com,,4536 Mitchell Ave Cincinnati OH 45232-1912,Cincinnati,OH,4536 Mitchell Ave,45232-1912,,,"Apex Cabinetry, Inc",(513) 832-7905,01/14/2026 15:38:22 a,Net 30,31-1737488,https://apexcabinetry.com
Apke Total Restoration,Phone:(513) 541-1900 ,,Apke Total Restoration,3104 Spring Grove Ave Cincinnati OH 45225 United States,Cincinnati,OH,3104 Spring Grove Ave,45225,,United States,Apke Total Restoration,(513) 541-1900,10/16/2025 08:48:14 a,,311207125,
Archibald Electric,Phone:(513) 621-1307 ,,Archibald  Electric,3803 Ford Circle Cincinnati OH 45227 United States,Cincinnati,OH,3803 Ford Circle,45227,,United States,Archibald Electric,(513) 621-1307,01/19/2026 09:37:15 a,Net 30,310202890,
Arts Rental,,,Arts  Rental,United States,,,,,,United States,Arts Rental,,10/15/2025 17:21:42 a,,,
A S Electric Supply Inc,,,A S Electric Supply Inc,5 Coordinator Dr Erlanger KY 41018 United States,Erlanger,KY,5 Coordinator Dr,41018,,United States,A S Electric Supply Inc,,10/15/2025 17:21:42 a,,,
Autozone,,,Autozone,United States,,,,,,United States,Autozone,,10/15/2025 17:21:42 a,,,
AXL Mechanical,Phone:(513) 407-9091 ,accounting@axlmechanical.com,,1770 Mason Morrow Millgrove Rd Lebanon OH 45036 United States,Lebanon,OH,1770 Mason Morrow Millgrove Rd,45036,,United States,AXL Mechanical,(513) 407-9091,01/14/2026 15:18:33 a,Net 30,844094880,http://www.axlmechanical.com/
"Becks Paint, Hardware & Decor",,,"Becks Paint, Hardware & Decor",718 E McMillan St Cincinnati OH 45206 United States,Cincinnati,OH,718 E McMillan St,45206,,United States,"Becks Paint, Hardware & Decor",,10/15/2025 17:21:43 a,,,
Best Deal Dumpster,,,Best Deal Dumpster,4621 Knopp Ave Louisville KY 40213 United States,Louisville,KY,4621 Knopp Ave,40213,,United States,Best Deal Dumpster,,10/15/2025 17:21:43 a,,,
Bonded Lock Services,,,Bonded Lock Services,United States,,,,,,United States,Bonded Lock Services,,10/15/2025 17:21:43 a,,,
Boone County Clerk,,,Boone County Clerk,United States,,,,,,United States,Boone County Clerk,,10/15/2025 17:21:43 a,,,
Boone Kenton Lumber,,,Boone Kenton Lumber,3219 Crescent Ave Erlanger KY 41018 United States,Erlanger,KY,3219 Crescent Ave,41018,,United States,Boone Kenton Lumber,,10/15/2025 17:21:43 a,,,
Boone Transfer Station,,,Boone Transfer Station,1505 Resource Dr Burlington KY 41005 United States,Burlington,KY,1505 Resource Dr,41005,,United States,Boone Transfer Station,,10/15/2025 17:21:43 a,,,
BP Gas,,,BP  Gas,United States,,,,,,United States,BP Gas,,10/15/2025 17:21:43 a,,,
Brunt Workwear,,,Brunt  Workwear,,,,,,0.00,,Brunt Workwear,,01/19/2026 09:10:03 a,,,
Butler County Community Development Division,,,Butler County Development Division,,,,,,,,Butler County Community Development Division,,11/08/2025 06:33:08 a,,,
Cardwell Tree & Landscape,,lindsaycardwell1155@gmail.com,Cardwell Tree & Landscape,P O Box 18543 Erlanger KY 41018 United States,Erlanger,KY,P O Box 18543,41018,,United States,Cardwell Tree & Landscape,,10/16/2025 09:05:42 a,,,
Carhartt,Phone:(513) 657-7130 ,,,2685 Edmondson Rd Cincinnati Ohio 45209 USA,Cincinnati,Ohio,2685 Edmondson Rd,45209,0.00,USA,Carhartt,(513) 657-7130,10/27/2025 12:06:16 a,,,
Carson Shea,,,,,,,,,0.00,,Carson Shea,,01/13/2026 08:39:49 a,,,
Carter Lumber,,,Carter  Lumber,United States,,,,,,United States,Carter Lumber,,10/15/2025 17:21:43 a,,,
"C & C Mechanical, LLC",,,,40061 Jones Rd Wellington OH 44090,Wellington,OH,40061 Jones Rd,44090,0.00,,"C & C Mechanical, LLC",,12/24/2025 05:06:44 a,,,
"C&D Mechanical,Inc",Phone:(513) 574-4699 ,,,PO Box 37385 Cincinnati OH 45222 United States,Cincinnati,OH,PO Box 37385,45222,,United States,"C&D Mechanical,Inc",(513) 574-4699,01/14/2026 15:24:56 a,Net 30,311099535,
Central Equipment,,,Central  Equipment,United States,,,,,,United States,Central Equipment,,10/15/2025 17:21:43 a,,,
CertaPro Painters of Cincinnati & NKY,Phone:(513) 891-3068 ,rharris@certapro.com,,25 Whitney Dr Ste 102 Milford OH 45150 United States,Milford,OH,25 Whitney Dr Ste 102,45150,,United States,CertaPro Painters of Cincinnati & NKY,(513) 891-3068,10/16/2025 09:13:10 a,Net 30,371745127,http://www.certapro.com/cincy
ChatGPT,,,ChatGPT,United States,,,,,,United States,ChatGPT,,10/15/2025 17:21:44 a,,,
"Chick-fil-A, Inc.",,,,,,,,,,,"Chick-fil-A, Inc.",,11/17/2025 11:29:22 a,,,
Cincinnati Better Business Bureau,,,Cincinnati Better Business Bureau,,,,,,0.00,,Cincinnati Better Business Bureau,,11/17/2025 11:09:17 a,,,
Cincinnati Income Tax Division,,,Cincinnati Income Tax Division,United States,,,,,,United States,Cincinnati Income Tax Division,,10/15/2025 17:21:44 a,,,
Cincinnati Interiors,Phone:(513) 232-1547 ,lisa@cincinnatiinteriors.com,,7531 State Rd Cincinnati OH 45255 United States,Cincinnati,OH,7531 State Rd,45255,,United States,Cincinnati Interiors,(513) 232-1547,01/27/2026 05:52:08 a,Net 15,311636628,http://cincinnatiinteriors.com
Circle K,,,Circle  K,United States,,,,,,United States,Circle K,,10/15/2025 17:21:44 a,,,
City of Cincinnati,,,City of Cincinnati,United States,,,,,,United States,City of Cincinnati,,10/15/2025 17:21:44 a,,,
City of Cincinnati Dept of Building,,,City of Cincinnati Dept of Building,United States,,,,,,United States,City of Cincinnati Dept of Building,,10/15/2025 17:21:44 a,,,
City of Florence,,,City of Florence,8100 Ewing Blvd Florence KY 41042 United States,Florence,KY,8100 Ewing Blvd,41042,,United States,City of Florence,,10/15/2025 17:21:44 a,,,
City of Mason Tax Office,,,City of Mason Tax Office,6000 Mason Montgomery Rd Mason OH 45040 United States,Mason,OH,6000 Mason Montgomery Rd,45040,,United States,City of Mason Tax Office,,10/15/2025 17:21:44 a,,,
Collinsworth Technology Specialist LLC,,,Collinsworth Technology Specialist LLC,259 Macy Ct Walton KY 41094 United States,Walton,KY,259 Macy Ct,41094,,United States,Collinsworth Technology Specialist LLC,,10/15/2025 17:21:44 a,,,
Costco,,,Costco,United States,,,,,,United States,Costco,,10/15/2025 17:21:44 a,,,
Covington Transfer Station,,,Covington Transfer Station,4399 Boron Dr Covington KY 41015 United States,Covington,KY,4399 Boron Dr,41015,,United States,Covington Transfer Station,,10/15/2025 17:21:44 a,,,
Cracker Barrel,,,Cracker  Barrel,United States,,,,,,United States,Cracker Barrel,,10/15/2025 17:21:45 a,,,
Creative Solutions,,,Creative  solutions,,,,,,0.00,,Creative Solutions,,11/26/2025 12:13:56 a,,,
Crumbl Cookie,,,Crumbl  Cookie,United States,,,,,,United States,Crumbl Cookie,,10/15/2025 17:21:45 a,,,
CSC Service Works,,,CSC Service Works,,,,,,0.00,,CSC Service Works,,11/17/2025 10:54:02 a,,,
Darrell Lanigan Trucking,,,Darrell Lanigan Trucking,11307 US HIghway 42 Union KY 41091 United States,42 Union,KY,11307 US HIghway,41091,,United States,Darrell Lanigan Trucking,,10/15/2025 17:21:45 a,,,
Dell Computer,,,Dell  Computer,United States,,,,,,United States,Dell Computer,,10/15/2025 17:21:45 a,,,
Dick's Sporting Goods,,,Dick's Sporting Goods,United States,,,,,,United States,Dick's Sporting Goods,,10/15/2025 17:21:45 a,,,
DK Mobile Detail,,,DK Mobile Detail,United States,,,,,,United States,DK Mobile Detail,,10/15/2025 17:21:45 a,,,
Dollar General,,,Dollar  General,United States,,,,,,United States,Dollar General,,10/15/2025 17:21:45 a,,,
Dollar Tree,,,Dollar  Tree,United States,,,,,,United States,Dollar Tree,,10/15/2025 17:21:45 a,,,
Donald Radcliff,,,,,,,,,0.00,,Donald Radcliff,,01/15/2026 08:48:58 a,,,
Down Syndrome Association,,,Down Syndrome Association,United States,,,,,,United States,Down Syndrome Association,,10/15/2025 17:21:45 a,,,
Ebay,,,Ebay,United States,,,,,,United States,Ebay,,10/15/2025 17:21:45 a,,,
Edible Arrangements,,,Edible  Arrangements,United States,,,,,,United States,Edible Arrangements,,10/15/2025 17:21:46 a,,,
Edward B Mueller Company,,,,101 E Benson St Cincinnati OH 45215 United States,Cincinnati,OH,101 E Benson St,45215,,United States,Edward B Mueller Company,,10/16/2025 09:19:28 a,,,
Elite Excavation,,,Elite  Excavation,3670 Akin Ln Burlington KY 41005 United States,Burlington,KY,3670 Akin Ln,41005,,United States,Elite Excavation,,10/16/2025 11:51:48 a,,,
Emboss Architecture,,,Emboss  Architecture,906 Monmouth St Newport KY 41071 United States,Newport,KY,906 Monmouth St,41071,,United States,Emboss Architecture,,10/15/2025 17:21:46 a,,,
Enzweiler Building Institute,,kim@buildersnky.com,Enzweiler Building Institute,2751 Circleport Dr Erlanger KY 41018 United States,Erlanger,KY,2751 Circleport Dr,41018,,United States,Enzweiler Building Institute,,10/15/2025 17:21:46 a,,,
Family Dollar,,,Family  Dollar,United States,,,,,,United States,Family Dollar,,10/15/2025 17:21:46 a,,,
Fed Ex,,,Fed  Ex,7120 Turfway Rd Florence KY 41042 United States,Florence,KY,7120 Turfway Rd,41042,,United States,Fed Ex,,10/15/2025 17:21:46 a,,,
Ferguson Supply,,,Ferguson  Supply,United States,,,,,,United States,Ferguson Supply,,10/15/2025 17:21:46 a,,,
Ferguson Waterworks,,,Ferguson  Waterworks,10110 Toebben Dr Independence KY 41051 United States,Independence,KY,10110 Toebben Dr,41051,,United States,Ferguson Waterworks,,10/15/2025 17:21:46 a,,,
Firestone Complete Auto Care,,,,7844 Kingland Dr West Chester OH 45069,West Chester,OH,7844 Kingland Dr,45069,0.00,,Firestone Complete Auto Care,,12/15/2025 07:59:44 a,,,
Firetect,Phone:(800) 380-8801 ,,Firetect,28308 Constellation Road Valencia CA 91355,Valencia,CA,28308 Constellation Road,91355,0.00,,Firetect,(800) 380-8801,11/15/2025 03:46:30 a,,,http://diretect.com
Fishman Flooring Solutions,,,Fishman Flooring Solutions,United States,,,,,,United States,Fishman Flooring Solutions,,10/15/2025 17:21:46 a,,,
Florence Winwater Works Co,,,Florence Winwater Works Co,110 Richwood Ste D Walton KY 41094 United States,D Walton,KY,110 Richwood Ste,41094,,United States,Florence Winwater Works Co,,10/15/2025 17:21:46 a,,,
Footworks,,,Footworks,United States,,,,,,United States,Footworks,,10/15/2025 17:21:46 a,,,
Foundation Building 101,,,Foundation Building 101,6872 Paysphere Cir Chicago IL 60674-6872 United States,Chicago,IL,6872 Paysphere Cir,60674-6872,,United States,Foundation Building 101,,10/15/2025 17:21:47 a,,,
Garellie's,,,Garellie's,United States,,,,,,United States,Garellie's,,10/15/2025 17:21:47 a,,,
Gateway Glass & Glazing Inc.,Phone:(859) 356-9000 ,lori@gatewayglass.com,,PO Box 17166 Ft Mitchell KY 41017 United States,Ft Mitchell,KY,PO Box 17166,41017,,United States,Gateway Glass & Glazing Inc.,(859) 356-9000,01/22/2026 06:10:25 a,Net 30,610593587,
Gerke Electric,Phone:(513) 641-5385 ,office@gerkeelectric.com,,13 Phillips Ave Cincinnati OH 45217 United States,Cincinnati,OH,13 Phillips Ave,45217,,United States,Gerke Electric,(513) 641-5385,01/23/2026 05:48:27 a,Net 30,311764163,http://www.gerkeelectric.com
Google G Suite,,,Google G Suite,United States,,,,,,United States,Google G Suite,,10/15/2025 17:21:47 a,,,
Go Store It - Cincinnati,,,Go Store It - Cincinnati,2351 Terhune Alley Cincinnati OH 45206 United States,Alley Cincinnati,OH,2351 Terhune,45206,,United States,Go Store It - Cincinnati,,10/15/2025 17:21:47 a,,,
Got-A-Go Rentals & Septic Services,,,Got-A-Go Rentals & Septic Services,11910 Joseph E Schmiade Rd Independence KY 41051 United States,Independence,KY,11910 Joseph E Schmiade Rd,41051,,United States,Got-A-Go Rentals & Septic Services,,10/15/2025 17:21:47 a,,,
Graeter's,,,Gra,,,,,,0.00,,Graeter's,,01/09/2026 07:16:54 a,,,
Grainger,,,Grainger,United States,,,,,,United States,Grainger,,10/15/2025 17:21:47 a,,,
Great Lakes Ace Hardware,,,Great Lakes Ace Hardware,United States,,,,,,United States,Great Lakes Ace Hardware,,10/15/2025 17:21:47 a,,,
Grey Street Company,Phone:(513) 251-5111 ,sbrady@greystreetcompany.com,Grey Street Company,5323 Delhi Ave Cincinnati OH 45238 United States,Cincinnati,OH,5323 Delhi Ave,45238,,United States,Grey Street Company,(513) 251-5111,01/23/2026 06:11:43 a,,300527855,https://greystreetcompany.com/
Harbor Freight,,,Harbor  Freight,United States,,,,,,United States,Harbor Freight,,10/15/2025 17:21:47 a,,,
Heilman Hardware,,,Heilman  Hardware,203 Ridgeway Ave Falmouth KY 41040 United States,Falmouth,KY,203 Ridgeway Ave,41040,,United States,Heilman Hardware,,10/15/2025 17:21:47 a,,,
Hellman Lumber Co.,,,Hellman Lumber Co.,177 S Main Street Walton KY 41094 United States,Walton,KY,177 S Main Street,41094,,United States,Hellman Lumber Co.,,10/15/2025 17:21:47 a,,,
Hightech Signs,,,Hightech  Signs,4050 Thunderbird Ln Fairfield OH 45014 United States,Fairfield,OH,4050 Thunderbird Ln,45014,,United States,Hightech Signs,,12/29/2025 06:39:57 a,,,
Hilti Store,,,Hilti  Store,750 Dalton Ave Ste B Cincinnati OH 45203,Cincinnati,OH,750 Dalton Ave Ste B,45203,0.00,,Hilti Store,,12/10/2025 06:31:17 a,,,
Hioemwh,,,Hioemwh,United States,,,,,,United States,Hioemwh,,10/15/2025 17:21:48 a,,,
Hollstegge Electric LLC,Phone:(513) 648-9300 ,,,P O Box 27 Miamitown OH 45041 United States,Miamitown,OH,P O Box 27,45041,,United States,Hollstegge Electric LLC,(513) 648-9300,10/16/2025 12:07:49 a,,260876922,
Holtmans Donuts,,,Holtmans  Donuts,United States,,,,,,United States,Holtmans Donuts,,10/15/2025 17:21:48 a,,,
Home Depot,,,Home  Depot,United States,,,,,,United States,Home Depot,,10/15/2025 17:21:48 a,,,
Hometown Concrete,,,Hometown  Concrete,10220 Dixie Hwy Florence KY 41042 United States,Florence,KY,10220 Dixie Hwy,41042,,United States,Hometown Concrete,,10/16/2025 08:31:19 a,,,
Hurts Donut Company,,,Hurts Donut Company,United States,,,,,,United States,Hurts Donut Company,,10/15/2025 17:21:48 a,,,
"ICRA Solutions, LLC",,,"ICRA Solutions, LLC",United States,,,,,,United States,"ICRA Solutions, LLC",,10/15/2025 17:21:48 a,,,
Ideal Supply,,,Ideal  Supply,P.O. Box 16218 Ludlow KY 41016 United States,Ludlow,KY,P.O. Box 16218,41016,,United States,Ideal Supply,,10/15/2025 17:21:48 a,,,
INPRO,,anowak@inprocorp.com,Alyssa  Nowak,P O Box 720 Muskego WI 53150 United States,Muskego,WI,P O Box 720,53150,,United States,INPRO,,10/17/2025 10:21:29 a,,,
Interior Supply,,,Interior  Supply,222 Circle Freeway Dr Cincinnati OH 45248 United States,Cincinnati,OH,222 Circle Freeway Dr,45248,,United States,Interior Supply,,10/15/2025 17:21:48 a,,,
"Ivey Mechanical Company, LLC",Phone:(662) 289-3646 ,,,PO Box 610 Kosciusko MS 39090 United States,Kosciusko,MS,PO Box 610,39090,,United States,"Ivey Mechanical Company, LLC",(662) 289-3646,10/16/2025 12:11:34 a,,810584608,https://iveymechanical.com/
Izzys,,,Izzys,United States,,,,,,United States,Izzys,,10/15/2025 17:21:48 a,,,
JB Doppes Sons Lumber Co.,,,JB Doppes Sons Lumber Co.,1001 Dalton Ave Cincinnati OH 45203 United States,Cincinnati,OH,1001 Dalton Ave,45203,,United States,JB Doppes Sons Lumber Co.,,10/15/2025 17:21:48 a,,,
Jessica Mastronardo Certified Public Accountant,,,Jessica Mastronardo Certified Public Accountant,11077 Clay Dr Richwood KY 41094 United States,Richwood,KY,11077 Clay Dr,41094,,United States,Jessica Mastronardo Certified Public Accountant,,10/15/2025 17:21:48 a,,,
Jesus Salazar,,,Jesus  Salazar,1093 Battleridge Dr Independence KY 41051 United States,Independence,KY,1093 Battleridge Dr,41051,,United States,Jesus Salazar,,10/16/2025 12:12:22 a,,,
"J-II Fire System, INC.",,,"J-II Fire System, INC.",5867 Filview Circle Cincinnati OH 45248 United States,Cincinnati,OH,5867 Filview Circle,45248,,United States,"J-II Fire System, INC.",,10/16/2025 12:14:07 a,,205450274,
Kelly Brother Lumber,,,Kelly Brother Lumber,United States,,,,,,United States,Kelly Brother Lumber,,10/15/2025 17:21:49 a,,,
Kenton County Fiscal Court,,,Kenton County Fiscal Court,P O Box 706237 Cincinnati OH 45270 United States,Cincinnati,OH,P O Box 706237,45270,,United States,Kenton County Fiscal Court,,10/15/2025 17:21:49 a,,,
Klinge Lock and Safe,,,,2417 Gilbert  Ave Cincinnati OH 45206,Cincinnati,OH,2417 Gilbert  Ave,45206,0.00,,Klinge Lock and Safe,,12/10/2025 11:38:38 a,,,
KNR Construction Inc.,Phone:(859) 835-3920 ,accounting@klotzcontracting.com,KNR Construction Inc.,1450 Dixie Hwy Park Hills KY 41011 United States,Park Hills,KY,1450 Dixie Hwy,41011,,United States,KNR Construction Inc.,(859) 835-3920,10/16/2025 12:15:43 a,Due on receipt,873931698,
KOI Precast Concrete,,,KOI Precast Concrete,5719 Limaburg Rd Burlington KY 41005 United States,Burlington,KY,5719 Limaburg Rd,41005,,United States,KOI Precast Concrete,,10/15/2025 17:21:49 a,,,
Krallman Masonry Inc.,,,,6278 Rogers Ln Burlington KY 41005 United States,Burlington,KY,6278 Rogers Ln,41005,,United States,Krallman Masonry Inc.,,01/14/2026 15:22:59 a,,611003455,
Kroger,,,Kroger,United States,,,,,,United States,Kroger,,10/15/2025 17:21:49 a,,,
League Dumpster Rental,,,League Dumpster Rental,United States,,,,,,United States,League Dumpster Rental,,10/15/2025 17:21:49 a,,,
Level 4 Construction -,,,,2149 Chamber Center Fort Mitchell Ky 41017 United States,Fort Mitchell,Ky,2149 Chamber Center,41017,0.00,United States,Level 4 Construction -,,12/03/2025 07:48:47 a,,,
Light Source International,,,Light Source International,United States,,,,,,United States,Light Source International,,10/15/2025 17:21:49 a,,,
Lowe's,,,Lowe's,United States,,,,,,United States,Lowe's,,10/15/2025 17:21:49 a,,,
L&W Supply,,,L&W  Supply,United States,,,,,,United States,L&W Supply,,10/15/2025 17:21:49 a,,,
MAB Garage,,,,,,,,,0.00,,MAB Garage,,01/19/2026 08:33:25 a,,,
Maddox Garden Center,,,Maddox Garden Center,8430 Dixie Hwy Florence KY 41042 United States,Florence,KY,8430 Dixie Hwy,41042,,United States,Maddox Garden Center,,10/15/2025 17:21:49 a,,,
Marathon Gas,,,Marathon  Gas,United States,,,,,,United States,Marathon Gas,,10/15/2025 17:21:49 a,,,
MarkCo Plumbing,Phone:(859) 371-6275 ,,MarkCo  Plumbing,P.O. Box 1276 Florence KY 41042 United States,Florence,KY,P.O. Box 1276,41042,,United States,MarkCo Plumbing,(859) 371-6275,01/27/2026 06:44:24 a,Net 30,,
Matt Radcliff,,,Matt  Radcliff,1887 Whispering Trail Union KY 41091 United States,Union,KY,1887 Whispering Trail,41091,,United States,Matt Radcliff,,10/15/2025 17:21:49 a,,,
McCabe Lumber,,,McCabe  Lumber,United States,,,,,,United States,McCabe Lumber,,10/15/2025 17:21:50 a,,,
Menards,,,Menards,United States,,,,,,United States,Menards,,10/15/2025 17:21:50 a,,,
Micro Center Sharonville,,,,11755 Mosteller Rd Sharonville OH 45241,Sharonville,OH,11755 Mosteller Rd,45241,0.00,,Micro Center Sharonville,,12/04/2025 08:35:18 a,,,
Microsoft,,,Microsoft,,,,,,0.00,,Microsoft,,01/06/2026 07:01:10 a,,,
Mike's Carwash,,,Mike's  Carwash,United States,,,,,,United States,Mike's Carwash,,10/15/2025 17:21:50 a,,,
Mike Wethington,,,Mike  Wethington,United States,,,,,,United States,Mike Wethington,,10/15/2025 17:21:50 a,,,
Mills Supply,,,Mills  Supply,P.O. Box 548 1612 Distribution Dr. Burlington KY 41005 United States,Burlington,KY,P.O. Box 548 1612 Distribution Dr.,41005,,United States,Mills Supply,,10/15/2025 17:21:50 a,,,
Minuteman Press,,,Minuteman  Press,7830 Highway 42 Florence KY 41042 United States,Florence,KY,7830 Highway 42,41042,,United States,Minuteman Press,,10/15/2025 17:21:50 a,,,
Mios Pizza Pub,,,Mios Pizza Pub,United States,,,,,,United States,Mios Pizza Pub,,10/15/2025 17:21:50 a,,,
Murphy Express,,,Murphy  Express,United States,,,,,,United States,Murphy Express,,10/15/2025 17:21:50 a,,,
Nana Wall,,,Nana  Wall,100 Meadowcreek Dr Ste 250 Corte Madera CA 94925 United States,Corte Madera,CA,100 Meadowcreek Dr Ste 250,94925,,United States,Nana Wall,,10/15/2025 17:21:50 a,,,
Nelson Stark,,,Nelson  Stark,7685 Fields Ertel Rd Cincinnati OH 45241 United States,Cincinnati,OH,7685 Fields Ertel Rd,45241,,United States,Nelson Stark,,10/15/2025 17:21:50 a,,,
Northern Kentucky Truck Service,,,Northern Kentucky Truck Service,10424 Dixie Hwy Florence KY 41042 United States,Florence,KY,10424 Dixie Hwy,41042,,United States,Northern Kentucky Truck Service,,10/15/2025 17:21:51 a,,,
Northern Tool,,,Northern  Tool,United States,,,,,,United States,Northern Tool,,10/15/2025 17:21:51 a,,,
OLG Supplies,,,OLG  Supplies,2000 Sandridge Dr Moraine OH 45439 United States,Moraine,OH,2000 Sandridge Dr,45439,,United States,OLG Supplies,,10/15/2025 17:21:51 a,,,
O' Reilly's Auto,,,O' Reilly's Auto,United States,,,,,,United States,O' Reilly's Auto,,10/15/2025 17:21:51 a,,,
Osterwich Electric,Phone:(513) 791-3282 ,,,6755 Highland Ave Cincinnati OH 45236 United States,Cincinnati,OH,6755 Highland Ave,45236,,United States,Osterwich Electric,(513) 791-3282,10/16/2025 12:20:59 a,Net 30,310984227,
Overhead Door,Phone:(513) 776-3793 ,,Overhead  Door,United States,,,,,,United States,Overhead Door,(513) 776-3793,01/14/2026 15:28:43 a,,,https://www.overheaddooronline.com
Panera Bread,,,Panera  Bread,United States,,,,,,United States,Panera Bread,,10/15/2025 17:21:51 a,,,
Payroll Partners,Phone:(859) 817-2280 ,,Payroll  Partners,810 Wright's Summit Parkway Suite 120 Fort Wright Ky 41011 US,Fort Wright,Ky,810 Wright's Summit Parkway Suite 120,41011,0.00,US,Payroll Partners,(859) 817-2280,11/08/2025 06:07:05 a,,,
"Pinnacle Paving and Sealing, LLC",Phone:(513) 474-4900 ,,,793 Round Bottom Rd Milford OH 45150 United States,Milford,OH,793 Round Bottom Rd,45150,,United States,"Pinnacle Paving and Sealing, LLC",(513) 474-4900,10/16/2025 12:25:19 a,Due on receipt,863662639,
PPD Painting,Phone:(630) 688-9423 ,finance@ppdpainting.com,,884 County Line Rd Bensenville IL 60106 United States,Bensenville,IL,884 County Line Rd,60106,,United States,PPD Painting,(630) 688-9423,01/14/2026 15:22:21 a,Net 30,200448947,
PPG Paint,,,PPG  Paint,United States,,,,,,United States,PPG Paint,,10/15/2025 17:21:51 a,,,
Prime Car Wash,,,Prime Car Wash,,,,,,0.00,,Prime Car Wash,,11/08/2025 06:40:12 a,,,
Professional sealants Inc,,heidij2@yahoo.com,Professional sealants Inc,3776 Old Madison Pike Ft Wright KY 41017 United States,Ft Wright,KY,3776 Old Madison Pike,41017,,United States,Professional sealants Inc,,01/14/2026 15:20:10 a,,611382082,
ProLandscape,,,ProLandscape,United States,,,,,,United States,ProLandscape,,10/16/2025 08:31:20 a,,,
Quick Books,,,Quick  Books,United States,,,,,,United States,Quick Books,,10/15/2025 17:21:51 a,,,
Quick Trip Inc,,,Quick  Trip,,,,,,,,Quick Trip Inc,,11/17/2025 11:32:38 a,,,
Randy's Rugged Wear,,,Randy's Rugged Wear,United States,,,,,,United States,Randy's Rugged Wear,,10/15/2025 17:21:51 a,,,
Rebco Electric,Phone:(513) 855-0049 ,accounting@rebcoelectric.com,,1770 Mason Morrow Millgrove Rd Lebanon OH 45036 United States,Lebanon,OH,1770 Mason Morrow Millgrove Rd,45036,,United States,Rebco Electric,(513) 855-0049,01/14/2026 15:25:42 a,Net 30,823815964,http://www.rebcoelectric.com
Ron Mullikin Construction,,,Ron Mullikin,190 Tater Knob Rd Peebles OH 45660 United States,Peebles,OH,190 Tater Knob Rd,45660,,United States,Ron Mullikin Construction,,10/16/2025 12:37:31 a,,934314477,
Rumpke,,,Rumpke,P O Box 538710 Cincinnati OH 45253-8710 United States,Cincinnati,OH,P O Box 538710,45253-8710,,United States,Rumpke,,10/15/2025 17:21:51 a,,,
Ryan's All Glass,Phone:(513) 771-4440 ,connie@ryansallglass.com,,9401 Le Saint Dr Fairfield OH 45014 United States,Fairfield,OH,9401 Le Saint Dr,45014,,United States,Ryan's All Glass,(513) 771-4440,01/14/2026 15:31:45 a,Net 30,311027224,
